company;stream_type;stream_name;composition;kiloton/year;Temperature ©;pressure (bar)
Methanol Production Plant;raw;FS-BFW1;100% H2O;80.2044899;204.346;17
Methanol Production Plant;raw;FS-Methane;100% CH4;50;20;1.02
Methanol Production Plant;raw;FS-Methane-2;100% CH4;32.2203188;20;1.02
Methanol Production Plant;raw;FS-CO2;100% CO2;38.8174034;20;1.02
Methanol Production Plant;raw;FS-WATER;100% H2O;157.213547;20;1.02
Methanol Production Plant;products;PS-CH3OH;99.96% CH3OH, 0.02% H2O, 0.02% Ethanol;93.7167772;40;1.02
Methanol Production Plant;products;PS-MPS;100% H2O;80.2044899;230;17
Methanol Production Plant;waste;WS-FG;H2O (8.41%), CO2 (10.28%), O2 (7.47%), N2 (73.83%), CH4 (3.49%);859.980447;64.21834;1.02
Methanol Production Plant;waste;WS-LIGHT;H2O (0.04%), H2 (1.30%), CO (1.54%), CO2 (79.94%), CH3OH (13.35%), METFORM (0.35%);7.09410171;63.053544;7
Methanol Production Plant;waste;WS-PURGE;CH4 (12.82%), H2O (0.15%), H2 (13.08%), CO (10.85%), CO2 (60.63%), CH3OH (2.47%);33.8010604;40.3592534;40
Methanol Production Plant;waste;WS-W1;H2O (99.99%);88.9703895;40;1.02
Methanol Production Plant;waste;WS-W2;H2O (99.58%), CH3OH (0.42%);22.448779;40;1.02
Ammonia Production Plant;raw;FS-METH;Methane (93%), Ethane (2.5%), N2 (4.5%);318.20144;25;1.02
Ammonia Production Plant;raw;FS-HPS;Water (100%);1037.68;263;51
Ammonia Production Plant;raw;FS-AIR2;N2 (75.3%), O2 (23.1%), Ar (1.3%), CO2 (457 ppm), H2O (0.3%);832.844;15;1.02
Ammonia Production Plant;raw;FS-MDMKP;MDEA (45%), Piperazine (5%), water (50%);149.109;30;1.02
Ammonia Production Plant;raw;FS-LPS;Water (100%);2334.784;155.2;5.5
Ammonia Production Plant;products;PS-AMM;NH3(99.4%), H2(666 ppm), N2(0.5%), Ar (2.41 ppm), O2 (998 ppm), CO(trace);618.429;-18;150
Ammonia Production Plant;products;PS-CO2;CO2(98,8%), H2O(0.5%), N2(0.5%), H2 (0.1%);731.055;10.87;1.02
Ammonia Production Plant;waste;WS-PURG1;N2(71.87%), H2(22.56%), NH3(5.47%), Ar (510 ppm), CO (320 ppm), O2(32 ppm);84.9421;20;1.02
Ammonia Production Plant;waste;WS-WW3;Water(99.98%);4.89344;20;1.02
Ammonia Production Plant;waste;WS-WW1;Water(99.91%), CO2(0.09%);554.522;35.64;1.02
Ammonia Production Plant;waste;WS-PURG2;N2(75.9%), Ar(13.5%), O2(5.8%), CH4(2.9%), CO2 (0.2%), H2O (0.5%),CO (0.1%), C2H6 (0.5%),  Piperazine (0.5%);75.6395;20;1.02
Ammonia Production Plant;waste;WS-WW2;H2O(88.2%), CO2(4.66%), MDEA(2.33%), Piperazine(4.8%);2603.13;10.868;1.02
Ethylbenzene Production Plant;raw;FS-BNZN;100% Benzene ;567.231568;20;1.5
Ethylbenzene Production Plant;raw;FS-ETHYL;100% Ethylene;203.149532;20;40
Ethylbenzene Production Plant;products;PS-EB;100% Ethylbenzene;758.071543;40;1.5
Ethylbenzene Production Plant;waste;WS-LIGHTS;50.26% Benzene, 49.74% Ethane ;3.06431273;231.270672;0.3
Ethylbenzene Production Plant;waste;WS-HEAVIES;99.93% Bibenzyl, 0.07% Terbutylalcohol;9.24549411;53.9209519;1.5
DME Plant;raw;FS-CH3OH;H2O (0.023%), CH3OH (99.96%), ETHANOL (0.017%);93.7167772;64.21834;1.02
DME Plant;products;PS-DME;CH3OH  0.018 %, DME 99.98%;67.3;40;10
DME Plant;waste;WS-PRG1;H2O (0.20%), CH3OH (90.01%), ETHANOL (9.29%), DME (0.51%);0.13281943;137.119572;10
DME Plant;waste;WS-WATER;H2O (99.94%), CH3OH (0.05%), ETHANOL (0.01%);26.3318558;40;1
Urea Production;raw;FS-NH3;NH3 (99.4%), H2 (0.098%), ;754.172;20;25
Urea Production;raw;FS-CO2;CO2 (98.9%), N2 (0.5%), H2 (0.1%), H2O (0.5%);949;20;1.02
Urea Production;raw;FS-STEAM;H2O (100%);504.428;380;140
Urea Production;raw;FS-WWTP;H2O (100%);14.4122;15;1.02
Urea Production;products;PS-UREA;UREA (100%);1233.25;40;1.02
Urea Production;waste;WS-PURG1;N2 (28.93%), AMBIC (39.83%), NH3 (20.8%), CO2 (0.16%),H2 (5.8%), H2O (4.1%);29.8003;40;2
Urea Production;waste;WS-PURG2;H2O (85.3%), UREA (10.2%), NH3 (4.1%), CO2 (0.4%);228.08;40;2
Urea Production;waste;WS-PURG3;H2O (52.3%), AMBIC (39%), NH3 (8.7%);8.06;40;2
Urea Production;waste;WS-WW1;H2O (93.6%), UREA (6.3%), NH3 (0.1%);45.8865;40;1.02
Urea Production;waste;WS-WW2;H2O (93.5%), NH3 (6.5%);90.053;41.03;1.02
Urea Production;waste;WS-WW3;H2O (98.3%), UREA (1.4%), NH3 (0.3%);586.88;40;1.02
